Timestamp;Thumb Bending;Index Bending;Middle Bending;Ring Bending;Pinky Bending
15: 44: 15.790;0.792157;0.505882;0;0;0.0156863
15: 44: 15.808;0.364706;0.517647;0;0;0.87451
15: 44: 15.827;0.905882;0.521569;0;0;0.564706
15: 44: 15.846;0.905882;0.521569;0;0;0.564706
15: 44: 15.865;0.0235294;0.517647;0;0;0.0235294
15: 44: 15.883;0.0235294;0.517647;0;0;0.0235294
15: 44: 15.902;0.203922;0.505882;0;0;0.87451
15: 44: 15.921;0.627451;0.490196;0;0;0.886275
15: 44: 15.977;0.627451;0.490196;0;0;0.886275
15: 44: 15.996;0.886275;0.509804;0;0;0.0117647
15: 44: 16.015;0.364706;0.517647;0;0;0.380392
15: 44: 16.033;0.364706;0.517647;0;0;0.380392
15: 44: 16.052;0.792157;0.505882;0;0;0.733333
15: 44: 16.127;0.619608;0.470588;0;0;0.545098
15: 44: 16.128;0.619608;0.470588;0;0;0.545098
15: 44: 16.146;0.419608;0.32549;0;0;0.917647
15: 44: 16.183;0.392157;0.243137;0.862745;0.0823529;0.909804
15: 44: 16.221;0.14902;0.2;0.0784314;0.858824;0.494118
15: 44: 16.240;0.137255;0.156863;0.298039;0.247059;0.403922
15: 44: 16.258;0.662745;0.0980392;0.121569;0.501961;0.407843
15: 44: 16.277;0.345098;0.0627451;0.101961;0.560784;0.0352941
15: 44: 16.296;0.345098;0.0627451;0.101961;0.560784;0.0352941
15: 44: 16.333;0.278431;0.054902;0.0352941;0.588235;0.945098
15: 44: 16.352;0.278431;0.054902;0;0.580392;0.384314
15: 44: 16.371;0.156863;0.0392157;0.164706;0.556863;0.662745
15: 44: 16.390;0.156863;0.0392157;0.164706;0.556863;0.662745
15: 44: 16.427;0.0509804;0.0156863;0.682353;0.54902;0.419608
15: 44: 16.428;0.0235294;0.00784314;0.101961;0.560784;0.329412
15: 44: 16.446;0.0235294;0.00784314;0.101961;0.560784;0.329412
15: 44: 16.465;0.658824;0.0235294;0.956863;0.552941;0.466667
15: 44: 16.483;0.658824;0.0235294;0.956863;0.552941;0.466667
15: 44: 16.502;0.423529;0.0156863;0.741176;0.52549;0.00392157
15: 44: 16.521;0.490196;0;0.705882;0.509804;0.0352941
15: 44: 16.540;0.490196;0;0.705882;0.509804;0.0352941
15: 44: 16.558;0.592157;0.00392157;0.627451;0.482353;0.160784
15: 44: 16.577;0.0509804;0.0156863;0.321569;0.478431;0.901961
15: 44: 16.596;0.0509804;0.0156863;0.321569;0.478431;0.901961
15: 44: 16.615;0.376471;1;1;0.47451;0.329412
15: 44: 16.633;0.376471;1;1;0.47451;0.329412
15: 44: 16.652;0.878431;0.972549;0.27451;0.466667;0.419608
15: 44: 16.671;0.376471;1;0.415686;0.454902;0.882353
15: 44: 16.690;0.376471;1;0.415686;0.454902;0.882353
15: 44: 16.708;0.0235294;0.00784314;0.219608;0.447059;0.901961
15: 44: 16.727;0.913725;0.984314;0.941176;0.458824;0.329412
15: 44: 16.746;0.913725;0.984314;0.941176;0.458824;0.329412
15: 44: 16.765;0.878431;0.972549;0.27451;0.466667;0.419608
15: 44: 16.783;0.878431;0.972549;0.27451;0.466667;0.419608
15: 44: 16.802;0.490196;0;0.627451;0.482353;0.882353
15: 44: 16.821;0.54902;0.988235;1;0.47451;0.67451
15: 44: 16.877;0.376471;0.964706;0.941176;0.458824;0.384314
15: 44: 16.896;0.376471;0.964706;0.941176;0.458824;0.384314
15: 44: 16.915;0.376471;1;0.541176;0.443137;0.384314
15: 44: 16.952;0.878431;0.972549;0.807843;0.439216;0.901961
15: 44: 16.971;0.878431;0.972549;0.219608;0.427451;0.882353
15: 44: 16.990;0.878431;0.972549;0.219608;0.427451;0.882353
15: 44: 17.008;0.490196;0;0.741176;0.411765;0.54902
15: 44: 17.027;0.141176;0.968627;0.411765;0.407843;0.882353
15: 44: 17.046;0.141176;0.968627;0.411765;0.407843;0.882353
15: 44: 17.065;0.580392;0.976471;0.219608;0.427451;0.14902
15: 44: 17.102;0.490196;0;0.415686;0.454902;0.466667
15: 44: 17.103;0.490196;0;0.415686;0.454902;0.466667
